date,open,close,high,low
1/31/2016,2252.6,2445.5,2903.8,2252.6
2/29/2016,2453.15,2724.8,2920.5,2453.15
3/31/2016,2596.8,2629.4,2908.2,2468.8
4/30/2016,2299.8,2521.5,2922.3,2299.8
5/31/2016,2301.3,2611.5,2916.8,2301.3
6/30/2016,2329.8,2859.1,2956.6,2329.8
7/31/2016,2369.5,2532.666667,2936.7,2369.5
8/31/2016,2356,2822.3,2934,2356
9/30/2016,2711,2837.7,2880,2521.7
10/31/2016,2715.45,2724.1,2889,2593.2
11/30/2016,2362,2592.9,2924.8,2362
12/31/2016,2326.9,2534.033333,2898,2326.9
1/31/2017,2570.266667,2627.3,2705.2,2570.266667
2/28/2017,2506.5,2687.6,2691.8,2506.5
3/31/2017,2525.8,2591.8,2671.9,2523
4/30/2017,2537.8,2577.066667,2739.1,2532.8
5/31/2017,2559.4,2622,2748.3,2532.4
6/30/2017,2570.8,2576.8,2751.1,2544.9
7/31/2017,2619.05,2611.4,2759,2520.6
8/31/2017,2642.35,2694,2763.4,2541
9/30/2017,2575.8,2649,2733.1,2534.2
10/31/2017,2606.6,2639.9,2706.8,2508.2
11/30/2017,2583.1,2649.4,2738.2,2508.8
12/31/2017,2629.8,2645.266667,2726.5,2519.9
1/31/2018,2645.5,2745.3,2900.7,2645.5
2/28/2018,2672.5,2759.6,2885.8,2661.5
3/31/2018,2677.7,2719.3,2885.7,2669.2
4/30/2018,2675.1,2806.4,2885.7,2668
5/31/2018,2676.1,2812.8,2878.7,2668
6/30/2018,2779.65,2753.3,2874.5,2666.4
7/31/2018,2742.15,2692.7,2863.4,2665.4
8/31/2018,2690.1,2725.6,2859.5,2637.9
9/30/2018,2679.6,2775.1,2859.5,2679.6
10/31/2018,2701.7,2892.7,2906,2688
11/30/2018,2703.7,2736.6,2898.7,2686.4
12/31/2018,2709.6,2859.1,2881.5,2686.4
1/31/2019,2865.8,3008.6,3507.2,2853.4
2/28/2019,2879.6,2987.4,3534.2,2832.8
3/31/2019,2908.7,2880.3,3580.1,2832.7
4/30/2019,2867,2866.1,3590.4,2839.9
5/31/2019,2868,2915.9,3503.4,2839.9
6/30/2019,2868.1,3120.5,3463.9,2847.1
7/31/2019,2888.1,3137.9,3468.5,2870.4
8/31/2019,2893.6,3507.2,3546.9,2869.2
9/30/2019,2924.3,3340.6,3490.5,2886
10/31/2019,2911.4,3450.8,3450.8,2888.2
11/30/2019,2909.7,3372.2,3433.8,2864
12/31/2019,2909.3,3477.3,3477.3,2865
1/31/2020,3477.6,3646.3,4748,3477.6
2/29/2020,3495.6,3672.8,4748,3495.6
3/31/2020,3565.4,3818.4,4769.8,3544.1
4/30/2020,3573.5,4082.6,4855.5,3545.5
5/31/2020,3573.5,4198,4895.8,3559
6/30/2020,3606.9,4320,4966.3,3582.5
7/31/2020,3625.4,4751.7,4892.1,3607.7
8/31/2020,3564.6,4640.6,4894.1,3564.6
9/30/2020,3548.9,4458.7,4890.5,3548.9
10/31/2020,3550.7,4499.6,4869.1,3550.7
11/30/2020,3559.6,4230.6,4594.8,3559.6
12/31/2020,3559.6,4440.4,4593.8,3559.6
1/31/2021,4443.1,4326.4,4443.1,4050.3
2/28/2021,4443,4097.9,4469.7,4081.4
3/31/2021,4443,4013.2,4443,3965.3
4/30/2021,4554.1,4205.7,4554.1,3989.6
5/31/2021,4580.3,4438.8,4580.3,3989.7
6/30/2021,4512.6,4224.7,4512.6,3995.4
7/31/2021,4522.6,4331.1,4522.6,3995.4
8/31/2021,4347.3,4252.5,4436.3,3967.3
9/30/2021,4351.3,4186.3,4425.4,4017.1
10/31/2021,4351.3,4289.6,4449.4,4024.4
11/30/2021,4357.2,4277,4455.6,4022.9
12/31/2021,4353.2,4346.5,4448.9,4017.1
